deal_event_id,member_deal_ids,acquirer,target,company,src,Currency,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,completion_year,calendar_year,RelativeYear,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,log_assets,leverage,acquirer_group,Post,treat,TreatPost
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK PLC,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2014,-1,28547.6471,7446.5109,3419.8607,52345.7216,24187.8929,3952.1975,6.6621,26.0845,46.208,10.865625486120276,46.208,GSK,0,1,0
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK PLC,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2016,1,34143.3059,9044.8114,1116.5225,69152.8345,21993.2256,4295.9181,1.6209,26.4907,31.8038,11.144074326852955,31.8038,GSK,1,1,1
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK PLC,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2017,2,34461.5002,8567.9971,1748.9902,63425.1076,19224.0589,4460.3817,2.6537,24.8625,30.3099,11.057615080957964,30.3099,GSK,1,1,1
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK PLC,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2018,3,34834.0901,9319.6816,4094.7376,64627.0727,29009.059,4271.0498,6.3313,26.7545,44.8869,11.076388684023684,44.8869,GSK,1,1,1
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2012,-3,37753.4314,16312.1082,7822.1851,53693.5607,20372.8654,7062.951,14.918,43.207,37.9428,10.891048360830158,37.9428,Roche,0,1,0
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2013,-2,38014.7333,13774.8556,9072.1779,50736.538,15215.1668,7115.3699,17.5846,36.2356,29.9886,10.834401600632344,29.9886,Roche,0,1,0
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2014,-1,39080.9033,13987.3436,7684.105,62812.9108,21381.6678,7397.5567,13.5534,35.7907,34.0402,11.047915917313649,34.0402,Roche,0,1,0
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2016,1,46405.4447,15546.7782,8786.352,71603.3517,20837.2008,9216.6777,12.5519,33.5021,29.1009,11.17889716330563,29.1009,Roche,1,1,1
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2017,2,48000.9261,15787.4676,7774.855,65509.1795,16198.7329,8061.2448,11.2486,32.8899,24.7274,11.089945556842112,24.7274,Roche,1,1,1
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2018,3,49226.8482,16753.8935,9092.6698,69761.7249,16676.9945,9694.5179,13.5315,34.0341,23.9057,11.152840784481302,23.9057,Roche,1,1,1
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE (ERF FP) - Standardized,treatment,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2013,2010,-3,680.333,61.971,23.4,736.161,276.718,,13.1527,108.0344,37.58933168152076,6.601448844806583,37.58933168152076,Eurofins Scientific SE,0,0,0
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE (ERF FP) - Standardized,treatment,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2013,2011,-2,828.934,91.366,55.407,1074.575,434.677,,13.426,108.3867,40.45106204778633,6.979680513553599,40.45106204778633,Eurofins Scientific SE,0,0,0
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE (ERF FP) - Standardized,treatment,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2013,2012,-1,1043.963,124.738,65.924,1159.096,435.119,,5.9027493305862855,11.948507753627284,37.53951355194047,7.055395669935419,37.53951355194047,Eurofins Scientific SE,0,0,0
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE (ERF FP) - Standardized,treatment,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2013,2014,1,1410.227,174.39,79.104,1873.19,710.232,,4.694312454490912,12.366094252911056,37.91564123233628,7.535398138836884,37.91564123233628,Eurofins Scientific SE,1,0,0
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE (ERF FP) - Standardized,treatment,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2013,2015,2,1950.074,235.358,87.316,3699.833,1710.033,0.0,3.133523762597068,12.069183015618894,46.219194217684965,8.21604296247856,46.219194217684965,Eurofins Scientific SE,1,0,0
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE (ERF FP) - Standardized,treatment,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2013,2016,3,2536.608,317.946,173.997,4129.415,1383.878,0.0,4.4447946980348565,12.534297770881428,33.51268884333495,8.325891029433164,33.51268884333495,Eurofins Scientific SE,1,0,0
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2015,2012,-3,37753.4314,16312.1082,7822.1851,53693.5607,20372.8654,7062.951,14.918,43.207,37.9428,10.891048360830158,37.9428,Roche,0,1,0
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2015,2013,-2,38014.7333,13774.8556,9072.1779,50736.538,15215.1668,7115.3699,17.5846,36.2356,29.9886,10.834401600632344,29.9886,Roche,0,1,0
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2015,2014,-1,39080.9033,13987.3436,7684.105,62812.9108,21381.6678,7397.5567,13.5534,35.7907,34.0402,11.047915917313649,34.0402,Roche,0,1,0
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2015,2016,1,46405.4447,15546.7782,8786.352,71603.3517,20837.2008,9216.6777,12.5519,33.5021,29.1009,11.17889716330563,29.1009,Roche,1,1,1
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2015,2017,2,48000.9261,15787.4676,7774.855,65509.1795,16198.7329,8061.2448,11.2486,32.8899,24.7274,11.089945556842112,24.7274,Roche,1,1,1
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche Holding AG,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2015,2018,3,49226.8482,16753.8935,9092.6698,69761.7249,16676.9945,9694.5179,13.5315,34.0341,23.9057,11.152840784481302,23.9057,Roche,1,1,1
